IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(3.560610771179199)
0;0;Yolo9000_04;35.05636080000001;0.13185276602923432;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;36;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;20;X:1, Y:9, X:1, F:4, C:1, W:3, H:3, X:136, Y:9, C:64, F:32, ;9.010847806930542
1;0;Yolo9000_04;33.3514214;0.1282210755376813;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;36;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;20;X:1, Y:9, X:1, F:4, C:1, W:3, H:3, X:136, Y:9, C:64, F:32, ;14.424409866333008
2;0;Yolo9000_04;34.97201199999999;0.062396305629419585;1;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;68;;;X:1, Y:17, X:1, F:4, C:1, W:3, H:3, X:136, Y:8, C:64, F:32, ;19.688334703445435
3;0;Yolo9000_04;36.243719299999995;0.1610163409912486;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;28;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;24;X:1, Y:7, X:1, F:4, C:1, W:3, H:3, X:136, Y:10, C:64, F:32, ;25.203179597854614
4;0;Yolo9000_04;34.869191;0.0897095274048401;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;28;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;24;X:1, Y:7, X:1, F:4, C:1, W:3, H:3, X:136, Y:10, C:64, F:32, ;30.69880986213684
5;0;Yolo9000_04;35.2263548;0.10106968677778676;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;20;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;28;X:1, Y:5, X:1, F:4, C:1, W:3, H:3, X:136, Y:9, C:64, F:32, ;36.33038258552551
6;0;Yolo9000_04;36.1952093;0.10689395167926995;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;44;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;8;X:1, Y:11, X:1, F:4, C:1, W:3, H:3, X:136, Y:10, C:64, F:32, ;41.93112254142761
7;0;Yolo9000_04;33.6881678;0.05805078994087884;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;56;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;24;X:1, Y:7, X:2, F:4, C:1, W:3, H:3, X:68, Y:13, C:64, F:32, ;47.31785225868225
8;0;Yolo9000_04;33.660657400000005;0.0697691243619978;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;56;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;24;X:2, Y:7, X:1, F:4, C:1, W:3, H:3, X:68, Y:13, C:64, F:32, ;52.702301025390625
9;0;Yolo9000_04;33.760972300000006;0.10112008265725404;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;88;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;8;X:1, Y:11, X:2, F:4, C:1, W:3, H:3, X:68, Y:11, C:64, F:32, ;58.089139461517334
