MLfunction,Conv,Nb_train,PredictionExacte,Distance,Prediction+1,Prediction+2
J48,MobilNet_01,20,42.407407407407400,2042,86.29629629629630,95.66666666666670
J48,MobilNet_01,50,46.370370370370400,1630,93.33333333333330,99.92592592592590
J48,MobilNet_01,100,54.18518518518520,1497,91.25925925925930,99.11111111111110
J48,MobilNet_01,150,51.85185185185190,1521,92.03703703703700,99.77777777777780
J48,MobilNet_01,200,56.55555555555560,1351,93.62962962962960,99.77777777777780
J48,MobilNet_01,350,61.66666666666670,1174,95.22222222222220,99.62962962962960
J48,MobilNet_01,500,62.03703703703700,1191,94.5925925925926,99.25925925925930
J48,MobilNet_01,1000,65.4074074074074,1051,95.81481481481480,99.85185185185190
J48,MobilNet_01,1500,66.85185185185190,1016,95.92592592592590,99.59259259259260
RandomForest,MobilNet_01,20,34.74074074074070,2795,73.33333333333330,91.48148148148150
RandomForest,MobilNet_01,50,41.51851851851850,2218,81.25925925925930,95.85185185185190
RandomForest,MobilNet_01,100,52.407407407407400,1509,92.33333333333330,99.4074074074074
RandomForest,MobilNet_01,150,55.074074074074100,1359,94.88888888888890,99.70370370370370
RandomForest,MobilNet_01,200,57.18518518518520,1258,96.29629629629630,99.92592592592590
RandomForest,MobilNet_01,350,63.96296296296300,1081,96.14814814814820,99.85185185185190
RandomForest,MobilNet_01,500,63.888888888888900,1078,96.37037037037040,99.81481481481480
RandomForest,MobilNet_01,1000,68.0,950,96.92592592592590,99.8888888888889
RandomForest,MobilNet_01,1500,69.03703703703700,899,97.74074074074070,99.92592592592590
RandomTree,MobilNet_01,20,28.185185185185200,4600,57.592592592592600,73.74074074074070
RandomTree,MobilNet_01,50,20.703703703703700,4284,63.07407407407410,81.0
RandomTree,MobilNet_01,100,35.333333333333300,2301,82.2962962962963,97.48148148148150
RandomTree,MobilNet_01,150,35.40740740740740,2546,79.88888888888890,92.03703703703700
RandomTree,MobilNet_01,200,42.25925925925930,2130,83.55555555555560,95.77777777777780
RandomTree,MobilNet_01,350,50.44444444444450,1679,89.5925925925926,98.22222222222220
RandomTree,MobilNet_01,500,46.14814814814820,2094,84.70370370370370,93.11111111111110
RandomTree,MobilNet_01,1000,54.851851851851900,1469,91.37037037037040,99.37037037037040
RandomTree,MobilNet_01,1500,56.222222222222200,1414,92.25925925925930,99.18518518518520
J48,MobilNet_02,20,19.124579124579100,3478,45.52188552188550,61.01010101010100
J48,MobilNet_02,50,27.003367003367,2099,59.32659932659930,83.16498316498320
J48,MobilNet_02,100,28.95622895622900,2348,62.42424242424240,77.17171717171720
J48,MobilNet_02,150,32.121212121212100,1878,70.43771043771040,85.45454545454550
J48,MobilNet_02,200,34.68013468013470,1724,73.33333333333330,87.67676767676770
J48,MobilNet_02,350,47.40740740740740,1097,85.85858585858590,95.01683501683500
J48,MobilNet_02,500,52.659932659932700,886,90.77441077441080,97.84511784511780
J48,MobilNet_02,1000,57.1043771043771,759,93.33333333333330,98.58585858585860
RandomForest,MobilNet_02,20,17.23905723905720,3740,41.41414141414140,56.56565656565660
RandomForest,MobilNet_02,50,18.51851851851850,3624,42.28956228956230,59.05723905723910
RandomForest,MobilNet_02,100,31.784511784511800,1765,69.6969696969697,88.41750841750840
RandomForest,MobilNet_02,150,36.76767676767680,1576,75.2861952861953,90.23569023569020
RandomForest,MobilNet_02,200,37.37373737373740,1698,74.81481481481480,87.34006734006730
RandomForest,MobilNet_02,350,43.43434343434340,1279,83.97306397306400,92.996632996633
RandomForest,MobilNet_02,500,46.801346801346800,1153,86.8013468013468,94.20875420875420
RandomForest,MobilNet_02,1000,54.74747474747480,834,92.25589225589230,97.91245791245790
RandomTree,MobilNet_02,20,14.276094276094300,4073,35.42087542087540,50.505050505050500
RandomTree,MobilNet_02,50,24.579124579124600,2564,57.03703703703700,75.15151515151510
RandomTree,MobilNet_02,100,25.72390572390570,2686,58.38383838383840,74.6127946127946
RandomTree,MobilNet_02,150,30.1010101010101,1955,65.72390572390570,85.52188552188550
RandomTree,MobilNet_02,200,22.693602693602700,2522,55.757575757575800,76.22895622895620
RandomTree,MobilNet_02,350,26.195286195286200,2197,63.70370370370370,84.37710437710440
RandomTree,MobilNet_02,500,36.36363636363640,1573,76.43097643097640,89.6969696969697
RandomTree,MobilNet_02,1000,39.25925925925930,1732,75.15151515151510,86.5993265993266
J48,MobilNet_03,20,45.06666666666670,2290,82.43333333333330,96.33333333333330
J48,MobilNet_03,50,39.2,2619,77.4,96.46666666666670
J48,MobilNet_03,100,46.03333333333330,2415,80.73333333333330,94.6
J48,MobilNet_03,150,51.4,1840,88.6,98.86666666666670
J48,MobilNet_03,200,49.2,1978,87.13333333333330,97.90000000000000
J48,MobilNet_03,350,55.166666666666700,1749,88.83333333333330,97.93333333333330
J48,MobilNet_03,500,60.16666666666670,1510,91.16666666666670,98.4
J48,MobilNet_03,1000,65.33333333333330,1291,93.10000000000000,98.83333333333330
J48,MobilNet_03,1500,68.66666666666670,1190,93.46666666666670,98.53333333333330
RandomForest,MobilNet_03,20,24.100000000000000,7219,48.96666666666670,59.4
RandomForest,MobilNet_03,50,39.96666666666670,4034,74.23333333333330,84.13333333333330
RandomForest,MobilNet_03,100,47.96666666666670,3239,80.0,89.8
RandomForest,MobilNet_03,150,47.600000000000000,3056,82.0,90.93333333333330
RandomForest,MobilNet_03,200,51.83333333333330,2849,82.66666666666670,92.06666666666670
RandomForest,MobilNet_03,350,54.06666666666670,2044,87.56666666666670,97.03333333333330
RandomForest,MobilNet_03,500,56.600000000000000,1794,89.66666666666670,97.76666666666670
RandomForest,MobilNet_03,1000,62.133333333333300,1463,91.76666666666670,98.43333333333330
RandomForest,MobilNet_03,1500,64.86666666666670,1326,93.63333333333330,99.03333333333330
RandomTree,MobilNet_03,20,11.466666666666700,7324,37.3,63.13333333333330
RandomTree,MobilNet_03,50,32.2,5034,60.6,75.56666666666670
RandomTree,MobilNet_03,100,34.43333333333330,4456,68.23333333333330,81.53333333333330
RandomTree,MobilNet_03,150,36.5,4081,70.90000000000000,81.8
RandomTree,MobilNet_03,200,36.266666666666700,4106,68.10000000000000,82.63333333333330
RandomTree,MobilNet_03,350,30.2,5067,60.43333333333330,75.0
RandomTree,MobilNet_03,500,36.96666666666670,4281,68.36666666666670,80.10000000000000
RandomTree,MobilNet_03,1000,48.833333333333300,2204,83.43333333333330,95.63333333333330
RandomTree,MobilNet_03,1500,52.300000000000000,2273,86.23333333333330,94.26666666666670
J48,MobilNet_04,20,19.298245614035100,1584,52.083333333333300,75.10964912280700
J48,MobilNet_04,50,26.206140350877200,1208,66.44736842105260,85.6359649122807
J48,MobilNet_04,100,38.59649122807020,909,78.28947368421050,91.33771929824560
J48,MobilNet_04,150,43.09210526315790,812,81.9078947368421,94.18859649122810
J48,MobilNet_04,200,44.40789473684210,693,86.18421052631580,96.8201754385965
J48,MobilNet_04,350,42.76315789473680,713,85.08771929824560,97.14912280701750
J48,MobilNet_04,500,47.14912280701760,628,88.48684210526320,97.58771929824560
RandomForest,MobilNet_04,20,23.574561403508800,1592,57.45614035087720,73.90350877192980
RandomForest,MobilNet_04,50,31.140350877193000,1165,67.87280701754390,83.66228070175440
RandomForest,MobilNet_04,100,35.41666666666670,911,77.74122807017540,92.10526315789470
RandomForest,MobilNet_04,150,38.04824561403510,886,76.97368421052630,91.99561403508770
RandomForest,MobilNet_04,200,42.54385964912280,823,79.82456140350880,93.64035087719300
RandomForest,MobilNet_04,350,41.99561403508770,795,83.22368421052630,94.84649122807020
RandomForest,MobilNet_04,500,44.18859649122810,771,84.10087719298250,94.07894736842110
